コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
合計,,,,27929,39.2814,5,3114,1.16
WhHN8_nbxSs,職業別・入れるべきAI BEST3【ライター編】,"Aug 2, 2026",45,2002,2.8505,1,79,0
MJLkMc7nD_c,1日10分でAIを使いこなす人の習慣BEST3,"Aug 11, 2026",35,1393,1.7665,0,54,0
2V_PclqvlRE,動画編集AI・写真AI BEST3【元カメラマンが選ぶ】,"Aug 17, 2026",41,1392,2.5738,0,182,4.95
da3OQRf05do,気まずい一言が言いやすくなるプロンプトBEST3,"Aug 19, 2026",44,1235,2.2849,0,33,3.03
e4pB_iZjbOo,返信メールがラクになるプロンプトBEST3,"Aug 18, 2026",42,1182,1.8022,1,35,2.86
qg1NUu-zaKo,職業別・入れるべきAI BEST3【総務編】,"Aug 20, 2026",46,1110,1.9878,0,44,0
NRHdumEYXCY,報連相のAIプロンプト,"Aug 25, 2026",40,1075,1.067,0,7,14.29
A57J723WVk4,職業別・入れるべきAI BEST3【建設・現場編】 #2ch #仕事効率化,"Aug 22, 2026",45,1027,1.2522,0,31,0
4T6LS0KJ-VA,元カメラマンが、動画編集で時短できたAI BEST3 #ai活用 #2ch #仕事効率化,"Aug 22, 2026",45,1026,2.5279,0,23,4.35
DJ8uRZkD0Bg,クレーム対応で使えるプロンプトBEST3,"Aug 24, 2026",45,997,1.0356,0,21,0
THqG_c_80n4,汚い会議メモを片付けるプロンプトBEST3,"Aug 19, 2026",38,978,1.6067,0,20,5
ziH25c2dbOw,AIを使っても仕事が減らない理由BEST3,"Aug 8, 2026",38,912,1.2143,0,25,4
Pv6tJ9OeogU,資料を読む時間が消えるAIプロンプトBEST3,"Aug 28, 2026",48,903,0.5307,0,3,0
KTOJAdc-Tsg,AIの答えが浅いときに足す一言BEST3,"Aug 16, 2026",37,827,1.2179,0,48,2.08
X95MIKmN1yU,今週のAIニュースTOP3【仕事に関係あるものだけ】,"Aug 13, 2026",42,574,0.7692,0,32,0
h8twObj8bFc,職業別・入れるべきAI BEST3【飲食・カフェ編】 #2ch #仕事効率化,"Aug 21, 2026",47,545,0.9842,1,36,2.78
FcsmLD1nk4g,職業別・入れるべきAI BEST3【店舗・小売編】,"Aug 18, 2026",38,503,0.5501,0,45,2.22
kEnAsdceYwI,全部0円！無料AIランキング【画像・動画編】,"Aug 5, 2026",37,470,0.5623,0,238,0
y5BWk3FgBg4,課金して後悔したAIツールの共通点BEST3,"Aug 15, 2026",39,426,0.6496,0,32,3.13
Zz-woIExhZU,AIで浮いた時間、何に使うかBEST3,"Aug 15, 2026",39,423,1.2786,0,31,0
MsfuwvbcUBA,AIの指示、これを足すだけで変わるBEST3,"Aug 10, 2026",37,377,0.3015,1,40,0
qVylz_VMaHA,職業別・入れるべきAI BEST3【人事・採用編】,"Aug 12, 2026",40,369,0.4024,0,107,0
JyeEy3nK5wA,議事録作成が消えるAIプロンプトBEST3,"Aug 26, 2026",46,367,0.3984,0,21,0
XQ9DbFz8m_4,「AIで即月収100万」広告の裏側,"Aug 6, 2026",38,360,0.2423,0,29,0
5JiyhGVvNRM,「忙しくてAIを試す時間がない」人へ,"Aug 9, 2026",37,359,0.2595,0,32,3.13
sx3V444g7ko,今週のAIニュースTOP3【仕事に関係あるものだけ】,"Aug 6, 2026",44,346,0.4832,0,14,0
whi2qTTeBKc,AIに置き換わるのは「仕事」じゃありません,"Aug 10, 2026",38,343,0.3132,0,29,0
iX0-UMTRznI,資料・スライド作成AI BEST3【1時間→10分】,"Aug 3, 2026",38,334,0.34,0,238,0.84
qf6MU8TdxWw,元カメラマンが、AIで一番助かった作業BEST3,"Aug 14, 2026",41,327,0.4321,0,28,0
mJH7S7erJtE,有料AIサロン、入る前に見てください,"Aug 3, 2026",39,319,0.1917,0,32,0
qUUX2Nu56yw,AIを勉強してから使う人が損してる理由BEST3,"Aug 11, 2026",39,300,1.4491,0,35,0
QiCKj6l1aww,AI、無料版で十分な人の特徴BEST3,"Aug 9, 2026",40,295,0.2578,0,29,0
Qn0UI8hU5JQ,1on1で部下に本音を伝えるプロンプト #ai活用 #2ch #仕事効率化,"Aug 24, 2026",40,291,0.2781,0,22,0
2UQZ8gTAlHQ,職業別・入れるべきAI BEST3【事務編,"Aug 7, 2026",43,288,0.3554,0,123,0.81
